Catalog Number,Product Name,Product Type,Channel,Species Name,Gene Symbol,Gene Name,Accession,Probe Pairs,Probe Region Begin,Probe Region End 
442558,RNAscope® LS 2.5 Probe - Hs-LINC00473-tv1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,LINC00473,long intergenic non-protein coding RNA 473,NR_026860.1,20,781,1755
442568,RNAscope® LS 2.5 Probe - Hs-VNN1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,VNN1,vanin 1,NM_004666.2,20,2,1473
442578,RNAscope® LS 2.5 Probe - Hs-VNN2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,VNN2,vanin 2,NM_004665.4,20,6,2120
442588,RNAscope® LS 2.5 Probe - Hs-VNN3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,VNN3,vanin 3,NM_001291702.1,20,416,1680
442598,RNAscope® LS 2.5 Probe - Hs-CNTN1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CNTN1,contactin 1,NM_001843.3,20,863,2032
442608,RNAscope® LS 2.5 Probe - AcGFP,RNAscope LS 2.5 Target Probes,1,Other,AcGFP,AcGFP,,11,27,686
442628,RNAscope® LS 2.5 Probe - Hs-MFN2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MFN2,mitofusin 2,NM_014874.3,20,1350,2420
442638,RNAscope® LS 2.5 Probe - Hs-ZP3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ZP3,zona pellucida glycoprotein 3 (sperm receptor),NM_001110354.1,11,69,737
442648,RNAscope® LS 2.5 Probe - Mm-Dre-Cust,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mouse,Mouse,,20,83,999
442658,RNAscope® LS 2.5 Probe - Mm-En1,RNAscope LS 2.5 Target Probes,1,Mus musculus,En1,engrailed 1,NM_010133.2,20,1288,2489
442678,RNAscope® 2.5 LS Probe - Mm-Ccnd1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ccnd1,cyclin D1,NM_007631.2,20,2,1478
442688,RNAscope® LS 2.5 Probe - Mm-Gmnn,RNAscope LS 2.5 Target Probes,1,Mus musculus,Gmnn,geminin,NM_020567.2,19,2,968
442698,RNAscope® LS 2.5 Probe - Mm-Lpar2,RNAscope LS 2.5 Target Probes,1,Mus musculus,Lpar2,lysophosphatidic acid receptor 2,NM_020028.3,20,26,1173
442708,RNAscope® LS 2.5 Probe - Mm-Cilp,RNAscope LS 2.5 Target Probes,1,Mus musculus,Cilp,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase",NM_173385.2,20,1257,2266
442718,RNAscope® LS 2.5 Probe - Mm-Ndn,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ndn,necdin,NM_010882.3,20,52,1324
442728,RNAscope® LS 2.5 Probe - Rn-Loxl2,RNAscope LS 2.5 Target Probes,1,Rattus norvegicus,Loxl2,lysyl oxidase-like 2,NM_001106047.2,20,147,1383
442738,RNAscope® LS 2.5 Probe - Mm-Ace,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ace,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,NM_207624.5,20,1975,3142
442748,RNAscope® 2.5 LS Probe - V-HBV-preg,RNAscope LS 2.5 Target Probes,1,Hepatitis B virus,preg,preg,U95551.1,6,2271,2629
442758,RNAscope® 2.5 LS Probe - V-HEV-GT1-ORF3,RNAscope LS 2.5 Target Probes,1,Hepatitis E virus genotype 1,ORF3,ORF3,AF124406.1,8,20,365
442768,RNAscope® 2.5 LS Probe - V-HEV-GT3-ORF3,RNAscope LS 2.5 Target Probes,1,Hepatitis E virus type 3,ORF3,ORF3,AP003430.1,4,5177,5450
442798,RNAscope® LS 2.5 Probe - Ss-IL10,RNAscope LS 2.5 Target Probes,1,Sus scrofa,IL10,interleukin 10,NM_214041.1,19,2,1224
442818,RNAscope® LS 2.5 Probe - Mm-Chrdl1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Chrdl1,chordin-like 1,NM_001114385.1,20,406,1469
442828,RNAscope® LS 2.5 Probe - Mm-Gpc4,RNAscope LS 2.5 Target Probes,1,Mus musculus,Gpc4,glypican 4,NM_008150.2,20,309,1347
442838,RNAscope® LS 2.5 Probe - Mm-Gpc5,RNAscope LS 2.5 Target Probes,1,Mus musculus,Gpc5,glypican 5,NM_175500.4,20,389,1414
442848,RNAscope® LS 2.5 Probe - Mm-Gpc6,RNAscope LS 2.5 Target Probes,1,Mus musculus,Gpc6,glypican 6,NM_001079844.2,20,1086,2022
442858,RNAscope® LS 2.5 Probe - Hs-Alu-Rep-SxJ,RNAscope LS 2.5 Target Probes,1,Homo sapiens,Alu,Alu,U14574.1,1,187,240
442868,RNAscope® LS 2.5 Probe - Hs-HPRT1-No-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HPRT1,hypoxanthine phosphoribosyltransferase 1,NM_000194.2,14,12,1404
442878,RNAscope® LS 2.5 Probe - Mm-Gapdh-No-X-Hs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Gapdh,glyceraldehyde-3-phosphate dehydrogenase,NM_001289726.1,5,23,1269
442888,RNAscope® LS 2.5 Probe - Mm-Hprt-No-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Hprt,hypoxanthine guanine phosphoribosyl transferase,NM_013556.2,12,6,1326
442898,RNAscope® LS 2.5 Probe - Neo,RNAscope LS 2.5 Target Probes,1,Other,Neo,Neo,KF658273.1,15,5021,5881
442918,RNAscope® LS 2.5 Probe - Hs-PDGFC-No-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PDGFC,platelet derived growth factor C,NM_016205.2,17,1096,2720
442928,RNAscope® LS 2.5 Probe - Hs-HNF4A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HNF4A,hepatocyte nuclear factor 4 alpha,NM_178849.2,20,95,986
442938,RNAscope® LS 2.5 Probe - Mm-Cux1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Cux1,cut-like homeobox 1,NM_009986.4,20,307,1506
442948,RNAscope® LS 2.5 Probe - Mm-Gdf15-O1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Gdf15,growth differentiation factor 15,NM_011819.2,16,36,1001
442958,RNAscope® LS 2.5 Probe - Mm-Trpc6,RNAscope LS 2.5 Target Probes,1,Mus musculus,Trpc6,"transient receptor potential cation channel, subfamily C, member 6",NM_013838.2,20,282,1405
442968,RNAscope® LS 2.5 Probe - Mar-Arg1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ARG1,arginase 1,,20,98,1170
442978,RNAscope® LS 2.5 Probe - Mar-Mmp8,RNAscope LS 2.5 Target Probes,1,Oryctolagus cuniculus,LOC100339790,neutrophil collagenase,,20,303,1230
442988,RNAscope® LS 2.5 Probe - Mar-Mpo,RNAscope LS 2.5 Target Probes,1,Other,Mpo,Mpo,,6,18,323
442998,RNAscope® LS 2.5 Probe - St-Foxp3,RNAscope LS 2.5 Target Probes,1,Other,Foxp3,forkhead box P3,XM_005338688.1,20,597,1668
443008,RNAscope® LS 2.5 Probe - Mar-Socs3,RNAscope LS 2.5 Target Probes,1,Mus musculus,Socs3,suppressor of cytokine signaling 3,,20,222,1583
443018,RNAscope® LS 2.5 Probe - Mar-Tlr7,RNAscope LS 2.5 Target Probes,1,Other,Tlr7,Tlr7,,20,1488,2523
443028,RNAscope® LS 2.5 Probe - Mar-Tlr8,RNAscope LS 2.5 Target Probes,1,Other,Tlr8,Tlr8,,20,1689,2730
443038,RNAscope® LS 2.5 Probe - Mmu-IFNG,RNAscope LS 2.5 Target Probes,1,Macaca mulatta,IFNG,"interferon, gamma",NM_001032905.1,9,8,485
443048,RNAscope® LS 2.5 Probe - Mm-Ahsp,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ahsp,alpha hemoglobin stabilizing protein,NM_133245.1,10,2,494
443068,RNAscope® LS 2.5 Probe - Mm-Nos3,RNAscope LS 2.5 Target Probes,1,Mus musculus,Nos3,"nitric oxide synthase 3, endothelial cell",NM_008713.4,20,2122,3253
443078,RNAscope® LS 2.5 Probe - Mm-Cpt1a,RNAscope LS 2.5 Target Probes,1,Mus musculus,Cpt1a,"carnitine palmitoyltransferase 1a, liver",NM_013495.2,20,1234,2348
443088,RNAscope® LS 2.5 Probe - Rn-Ndst1,RNAscope LS 2.5 Target Probes,1,Rattus norvegicus,Ndst1,N-deacetylase/N-sulfotransferase 1,NM_024361.1,20,512,1675
443098,RNAscope® LS 2.5 Probe - Rn-Ndst3,RNAscope LS 2.5 Target Probes,1,Rattus norvegicus,Ndst3,N-deacetylase/N-sulfotransferase 3,NM_001191716.1,20,346,2378
443108,RNAscope® LS 2.5 Probe - Mar-Ifng,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ifng,interferon gamma,Y14138.1,9,6,534
443118,RNAscope® LS 2.5 Probe - Mar-LTA,RNAscope LS 2.5 Target Probes,1,Other,LTA,LTA,,20,2,1226
443128,RNAscope® LS 2.5 Probe - Mar-Tnf,RNAscope LS 2.5 Target Probes,1,Other,TNF,tumor necrosis factor,AF012910.1,20,39,1235
443138,RNAscope® LS 2.5 Probe - Mar-Usp18,RNAscope LS 2.5 Target Probes,1,Other,Usp18,Usp18,,20,126,1129
443148,RNAscope® LS 2.5 Probe - Mar-Gzmb,RNAscope LS 2.5 Target Probes,1,Other,Gzmb,Gzmb,,14,79,864
443158,RNAscope® LS 2.5 Probe - Mar-Il2,RNAscope LS 2.5 Target Probes,1,Other,Il2,Il2,,10,15,522
443168,RNAscope® LS 2.5 Probe - Mar-Pcna,RNAscope LS 2.5 Target Probes,1,Other,Pcna,Pcna,,20,75,1191
443178,RNAscope® LS 2.5 Probe - Mar-Prf1,RNAscope LS 2.5 Target Probes,1,Other,Prf1,Prf1,AF298158.1,20,63,1584
443188,RNAscope® LS 2.5 Probe - Mar-Cd3e,RNAscope LS 2.5 Target Probes,1,Mus musculus,Cd3e,"CD3 antigen, epsilon polypeptide",,20,63,1223
443198,RNAscope® LS 2.5 Probe - Mar-Cd40,RNAscope LS 2.5 Target Probes,1,Other,Cd40,Cd40,,20,44,1104
443208,RNAscope® LS 2.5 Probe - Mar-RORc,RNAscope LS 2.5 Target Probes,1,Other,Rorc,Rorc,,20,971,2095
443218,RNAscope® LS 2.5 Probe - Mar-Tnfsf4,RNAscope LS 2.5 Target Probes,1,Other,Tnfsf4,Tnfsf4,,20,867,2038
443228,RNAscope® LS 2.5 Probe - Mm-Cdh9,RNAscope LS 2.5 Target Probes,1,Mus musculus,Cdh9,cadherin 9,NM_009869.1,20,372,1461
443238,RNAscope® LS 2.5 Probe - Mm-Gm16086,RNAscope LS 2.5 Target Probes,1,Mus musculus,Gm16086,predicted gene 16086,XR_871182.1,8,161,586
443248,RNAscope® LS 2.5 Probe - Mm-Msln,RNAscope LS 2.5 Target Probes,1,Mus musculus,Msln,mesothelin,NM_018857.1,20,829,1753
443258,RNAscope® LS 2.5 Probe - Mm-Cdh13,RNAscope LS 2.5 Target Probes,1,Mus musculus,Cdh13,cadherin 13,NM_019707.4,20,196,1228
443268,RNAscope® 2.5 LS Probe - Mm-Col6a1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Col6a1,"collagen, type VI, alpha 1",NM_009933.4,20,1944,2907
443278,RNAscope® 2.5 LS Probe - Mm-St18,RNAscope LS 2.5 Target Probes,1,Mus musculus,St18,suppression of tumorigenicity 18,NM_001244692.1,20,888,2005
443318,RNAscope® 2.5 LS Probe - V-FIV-gag,RNAscope LS 2.5 Target Probes,1,Feline immunodeficiency virus,gag,gag,AY600517.1,17,356,1348
443328,RNAscope® 2.5 LS Probe - V-FIV-gag-sense,RNAscope LS 2.5 Target Probes,1,Feline immunodeficiency virus,gag,gag,AY600517.1,17,356,1348
443338,RNAscope® LS 2.5 Probe - Hs-ASCC3-tv2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ASCC3,activating signal cointegrator 1 complex subunit 3,NM_022091.4,20,1737,3257
443348,RNAscope® LS 2.5 Probe - Hs-CELA1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CELA1,chymotrypsin like elastase family member 1,NM_001971.5,20,2,936
443358,RNAscope® LS 2.5 Probe - Hs-DPT,RNAscope LS 2.5 Target Probes,1,Homo sapiens,DPT,dermatopontin,NM_001937.4,20,2,934
443368,RNAscope® LS 2.5 Probe - Hs-RNF152,RNAscope LS 2.5 Target Probes,1,Homo sapiens,RNF152,ring finger protein 152,NM_173557.2,20,109,1119
443378,RNAscope® LS 2.5 Probe - Hs-SCARA3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SCARA3,scavenger receptor class A member 3,NM_016240.2,20,507,1395
443388,RNAscope® LS 2.5 Probe - Hs-A4GNT,RNAscope LS 2.5 Target Probes,1,Homo sapiens,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",NM_016161.2,20,2,907
443398,RNAscope® 2.5 LS Probe - V-HERV-K-gag-env,RNAscope LS 2.5 Target Probes,1,Human endogenous retrovirus HERV-K(II),II,"""gag, env""",AB047240.1,16,2299,4090
443408,RNAscope® LS 2.5 Probe - Mar-Il10,RNAscope LS 2.5 Target Probes,1,Other,IL-10,IL-10,AF012909.1,20,2,1033
443418,RNAscope® LS 2.5 Probe - Hs-FGFR1-no-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FGFR1,fibroblast growth factor receptor 1,NM_023110.2,18,3410,4714
443428,RNAscope® LS 2.5 Probe - Hs-FGFR2-no-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FGFR2,fibroblast growth factor receptor 2,NM_000141.4,16,2744,4570
443438,RNAscope® LS 2.5 Probe - Hs-FGFR4-no-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FGFR4,fibroblast growth factor receptor 4,NM_002011.4,13,151,1690
443458,RNAscope® LS 2.5 Probe - Hs-MET-no-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MET,"MET proto-oncogene, receptor tyrosine kinase",NM_001127500.1,20,4067,5940
443468,RNAscope® LS 2.5 Probe - Hs-ACVR1-no-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ACVR1,activin A receptor type 1,NM_001105.4,16,26,2255
443478,RNAscope® LS 2.5 Probe - Hs-PECAM1-no-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PECAM1,platelet and endothelial cell adhesion molecule 1,NM_000442.4,20,4924,5846
443488,RNAscope® LS 2.5 Probe - Hs-TGFB1-no-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TGFB1,transforming growth factor beta 1,NM_000660.5,14,490,1623
443498,RNAscope® LS 2.5 Probe - Mm-Fgfr1-no-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Fgfr1,fibroblast growth factor receptor 1,NM_010206.3,18,2660,4498
443508,RNAscope® LS 2.5 Probe - Mm-Fgfr2-no-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Fgfr2,fibroblast growth factor receptor 2,NM_010207.2,18,2,1677
443518,RNAscope® LS 2.5 Probe - Mm-Fgfr4-no-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Fgfr4,fibroblast growth factor receptor 4,NM_008011.2,17,25,1953
443528,RNAscope® LS 2.5 Probe - Mm-Fgf7-no-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Fgf7,fibroblast growth factor 7,NM_008008.4,14,258,2641
443538,RNAscope® LS 2.5 Probe - Mm-Fgf15-no-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Fgf15,fibroblast growth factor 15,NM_008003.2,20,75,1283
443548,RNAscope® LS 2.5 Probe - Mm-Met-no-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Met,met proto-oncogene,NM_008591.2,20,4173,5991
443558,RNAscope® LS 2.5 Probe - Mm-Egfr-no-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Egfr,epidermal growth factor receptor,NM_207655.2,20,58,2111
443568,RNAscope® LS 2.5 Probe - Mm-Erbb2-no-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Erbb2,erb-b2 receptor tyrosine kinase 2,NM_001003817.1,20,603,2214
443578,RNAscope® LS 2.5 Probe - Mm-Tgfb1-no-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Tgfb1,"transforming growth factor, beta 1",NM_011577.1,16,252,1606
443588,RNAscope® LS 2.5 Probe - Hs-C9orf72-AS-O1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,C9orf72-AS,C9orf72-AS,chr9:27572861-27573521,9,2,493
443598,RNAscope® LS 2.5 Probe - Mm-Ifitm1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ifitm1,interferon induced transmembrane protein 1,NM_026820.3,6,9,521
443608,RNAscope® LS 2.5 Probe - Mm-Vtn,RNAscope LS 2.5 Target Probes,1,Mus musculus,Vtn,vitronectin,NM_011707.2,20,589,1618
443618,RNAscope® 2.5 LS Probe - Mm-QR-010,RNAscope LS 2.5 Target Probes,1,,,,,,,
443628,RNAscope® LS 2.5 Probe - Mm-Gnb2l1-E1-E3,RNAscope LS 2.5 Target Probes,1,Mus musculus,Rack1,receptor for activated C kinase 1,NM_008143.3,7,152,439
443638,RNAscope® LS 2.5 Probe - Mm-Phospho1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Phospho1,"phosphatase, orphan 1",NM_153104.3,6,103,383
443648,RNAscope® LS 2.5 Probe - Ol-lhb,RNAscope LS 2.5 Target Probes,1,Other,lhb,luteinizing hormone beta polypeptide,NM_001137653.2,11,3,555
443658,RNAscope® LS 2.5 Probe - Ol-olvlno28-m13,RNAscope LS 2.5 Target Probes,1,Other,olvlno28_m13,olvlno28_m13,98% silimar to XR_910489.1,11,5,547
443668,RNAscope® LS 2.5 Probe - Hs-EDNRA,RNAscope LS 2.5 Target Probes,1,Homo sapiens,EDNRA,endothelin receptor type A,NM_001957.3,20,1277,2766
443678,RNAscope® 2.5 LS Probe - Mm-Nefh,RNAscope LS 2.5 Target Probes,1,Mus musculus,Nefh,"neurofilament, heavy polypeptide",NM_010904.3,20,622,3074
443688,RNAscope® 2.5 LS Probe - Mm-P2rx2,RNAscope LS 2.5 Target Probes,1,Mus musculus,P2rx2,"purinergic receptor P2X, ligand-gated ion channel, 2",NM_153400.4,20,228,1394
443698,RNAscope® LS 2.5 Probe - Mm-Cyp46a1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Cyp46a1,"cytochrome P450, family 46, subfamily a, polypeptide 1",NM_010010.1,20,184,1073
443708,RNAscope® LS 2.5 Probe - Mm-Ldlr,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ldlr,low density lipoprotein receptor,NM_010700.3,20,667,1534
443718,RNAscope® LS 2.5 Probe - Mm-Lipc,RNAscope LS 2.5 Target Probes,1,Mus musculus,Lipc,"lipase, hepatic",NM_008280.2,20,222,1236
443728,RNAscope® LS 2.5 Probe - Mm-Vldlr,RNAscope LS 2.5 Target Probes,1,Mus musculus,Vldlr,very low density lipoprotein receptor,NM_013703.2,20,1769,2737
443738,RNAscope® LS 2.5 Probe - TurboGFP,RNAscope LS 2.5 Target Probes,1,Other,TurboGFP,TurboGFP,JX242583.1,11,7814,8374
443748,RNAscope® LS 2.5 Probe - Mau-Scnn1a,RNAscope LS 2.5 Target Probes,1,Other,Scnn1a,"sodium channel, non voltage gated 1 alpha subunit",XM_005084088.1,20,431,1528
443758,RNAscope® LS 2.5 Probe - Mau-Scnn1b,RNAscope LS 2.5 Target Probes,1,Other,Scnn1b,"sodium channel, non voltage gated 1 beta subunit",XM_005063408.1,20,401,1433
443768,RNAscope® LS 2.5 Probe - Mau-Scnn1g,RNAscope LS 2.5 Target Probes,1,Other,Scnn1g,"sodium channel, non voltage gated 1 gamma subunit",XM_005064461.1,20,379,1439
443778,RNAscope® LS 2.5 Probe - Mm-Trhr,RNAscope LS 2.5 Target Probes,1,Mus musculus,Trhr,thyrotropin releasing hormone receptor,NM_013696.2,20,664,1777
443788,RNAscope® LS 2.5 Probe - Mm-Ucp2,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ucp2,"uncoupling protein 2 (mitochondrial, proton carrier)",NM_011671.5,20,2,1002
443798,RNAscope® LS 2.5 Probe - Mm-Acsl4,RNAscope LS 2.5 Target Probes,1,Mus musculus,Acsl4,acyl-CoA synthetase long-chain family member 4,NM_207625.2,20,1337,2431
443808,RNAscope® LS 2.5 Probe - Mm-Myl4,RNAscope LS 2.5 Target Probes,1,Mus musculus,Myl4,"myosin, light polypeptide 4",NM_010858.4,13,12,846
443828,RNAscope® LS 2.5 Probe - Hs-PGP,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PGP,phosphoglycolate phosphatase,NM_001042371.2,14,544,1224
443838,RNAscope® LS 2.5 Probe - Rn-Avpr1b,RNAscope LS 2.5 Target Probes,1,Rattus norvegicus,Avpr1b,arginine vasopressin receptor 1B,NM_017205.3,20,13,2595
443848,RNAscope® LS 2.5 Probe - Mmu-CLDN3,RNAscope LS 2.5 Target Probes,1,Macaca mulatta,CLDN3,claudin 3,NM_001194562.1,11,2,1051
443858,RNAscope® LS 2.5 Probe - Mmu-CLDN6,RNAscope LS 2.5 Target Probes,1,Macaca mulatta,CLDN6,claudin 6,NM_001193833.1,9,2,803
443868,RNAscope® LS 2.5 Probe - Mmu-CLDN9,RNAscope LS 2.5 Target Probes,1,Macaca mulatta,CLDN9,claudin 9,NM_001193829.1,7,10,640
443878,RNAscope® LS 2.5 Probe - Hs-SOX11-CDS,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SOX11,SRY-box 11,NM_003108.3,20,19,1296
443888,RNAscope® LS 2.5 Probe - Rn-Edar,RNAscope LS 2.5 Target Probes,1,Rattus norvegicus,Edar,ectodysplasin-A receptor,NM_001191899.1,20,4,1278
443898,RNAscope® LS 2.5 Probe - Mmu-EGR1,RNAscope LS 2.5 Target Probes,1,Macaca mulatta,EGR1,early growth response 1,NM_001266878.1,20,453,1689
443908,RNAscope® LS 2.5 Probe - Mm-Igf1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Igf1,insulin-like growth factor 1,NM_010512.4,20,359,1354
443918,RNAscope® LS 2.5 Probe - Mm-Mef2a,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mef2a,myocyte enhancer factor 2A,NM_001033713.2,20,341,1400
443928,RNAscope® LS 2.5 Probe - Mm-Pappa,RNAscope LS 2.5 Target Probes,1,Mus musculus,Pappa,pregnancy-associated plasma protein A,NM_021362.1,20,1262,2197
443938,RNAscope® LS 2.5 Probe - Mm-Flt1-O1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Flt1,FMS-like tyrosine kinase 1,NM_010228.3,20,4913,5946
443958,RNAscope® LS 2.5 Probe - Mm-Lrrn4,RNAscope LS 2.5 Target Probes,1,Mus musculus,Lrrn4,leucine rich repeat neuronal 4,NM_177303.4,20,1005,2052
443968,RNAscope® LS 2.5 Probe - Dn-S100B,RNAscope LS 2.5 Target Probes,1,Other,S100B,S100 calcium binding protein B,XM_004483611.1,8,35,470
443988,RNAscope® LS 2.5 Probe - Mm-Mfng,RNAscope LS 2.5 Target Probes,1,Mus musculus,Mfng,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,NM_008595.2,20,189,1528
444018,RNAscope® 2.5 LS Probe - V-HIV1-CladeAE-gag-pol-sense,RNAscope LS 2.5 Target Probes,1,Human immunodeficiency virus 1,HIV1_CladeAE,HIV1_CladeAE,AF259954.1,55,890,4812
444028,RNAscope® 2.5 LS Probe - V-HIV1-CladeC-gag-pol-sense,RNAscope LS 2.5 Target Probes,1,Human immunodeficiency virus 1,HIV1_CladeC,HIV1_CladeC,,48,888,5032
444048,RNAscope® 2.5 LS Probe - V-HIV1-CladeC-vif-vpr-rev-vpu-env-nef-tar,RNAscope LS 2.5 Target Probes,1,Human immunodeficiency virus 1,V-HIV1-CladeC-vif-vpr-rev-vpu-env-nef-tar,HIV1_CladeC,,49,5078,9698
444058,RNAscope® 2.5 LS Probe - V-HIV1-CladeB-gag-pol-sense,RNAscope LS 2.5 Target Probes,1,Human immunodeficiency virus 1,HIV1,HIV1_CladeB,AF324493.2,40,854,3940
444068,RNAscope® 2.5 LS Probe - V-HIV1-CladeB-vif-vpr-tat-rev-vpu-env-nef-tar,RNAscope LS 2.5 Target Probes,1,,,,,40,,
444078,RNAscope® 2.5 LS Probe - Mm-Slc6a1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Slc6a1,"solute carrier family 6 (neurotransmitter transporter, GABA), member 1",NM_178703.4,20,545,1747
444088,RNAscope® LS 2.5 Probe - Mm-Klf5,RNAscope LS 2.5 Target Probes,1,Mus musculus,Klf5,Kruppel-like factor 5,NM_009769.4,20,496,1543
444098,RNAscope® LS 2.5 Probe - Mm-Rbp2,RNAscope LS 2.5 Target Probes,1,Mus musculus,Rbp2,"retinol binding protein 2, cellular",NM_009034.4,12,3,584
444108,RNAscope® LS 2.5 Probe - Mm-Fgfr3-No-XHs,RNAscope LS 2.5 Target Probes,1,Mus musculus,Fgfr3,fibroblast growth factor receptor 3,NM_008010.5,8,317,2087
444118,RNAscope® LS 2.5 Probe - Hs-KRAS-No-XMm,RNAscope LS 2.5 Target Probes,1,Homo sapiens,KRAS,"KRAS proto-oncogene, GTPase",NM_033360.3,20,1778,3136
444138,RNAscope® LS 2.5 Probe - Hs-CNN1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CNN1,calponin 1,NM_001299.4,20,38,1562
444148,RNAscope® LS 2.5 Probe - Hs-LMOD1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,LMOD1,leiomodin 1,NM_012134.2,20,892,2078
444158,RNAscope® LS 2.5 Probe - Hs-MYH11,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MYH11,myosin heavy chain 11,NM_001040113.1,20,382,1470
444168,RNAscope® LS 2.5 Probe - Hs-SYNPO2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SYNPO2,synaptopodin 2,NM_133477.2,20,255,1244
444178,RNAscope® LS 2.5 Probe - Hs-PDLIM7,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PDLIM7,PDZ and LIM domain 7,NM_005451.4,20,3,1149
444188,RNAscope® LS 2.5 Probe - Hs-PLN,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PLN,phospholamban,NM_002667.3,19,10,1630
444198,RNAscope® LS 2.5 Probe - Hs-SYNM,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SYNM,synemin,NM_145728.2,20,1285,2210
444218,RNAscope® LS 2.5 Probe - Hs-GHR,RNAscope LS 2.5 Target Probes,1,Homo sapiens,GHR,growth hormone receptor,NM_000163.4,20,1136,2136
444228,RNAscope® LS 2.5 Probe - Mm-Sqstm1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Sqstm1,sequestosome 1,NM_011018.3,20,396,1373
444238,RNAscope® 2.5 LS Probe - Hs-FDCSP,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FDCSP,follicular dendritic cell secreted protein,NM_152997.3,9,5,532
444258,RNAscope® 2.5 LS Probe - Mm-Kcnq2,RNAscope LS 2.5 Target Probes,1,Mus musculus,Kcnq2,"potassium voltage-gated channel, subfamily Q, member 2",NM_010611.3,20,391,1318
444268,RNAscope® LS 2.5 Probe - Mm-Kcnq3,RNAscope LS 2.5 Target Probes,1,Mus musculus,Kcnq3,"potassium voltage-gated channel, subfamily Q, member 3",NM_152923.2,20,391,1565
444278,RNAscope® 2.5 LS Probe - Mm-Rorb,RNAscope LS 2.5 Target Probes,1,Mus musculus,Rorb,RAR-related orphan receptor beta,NM_001043354.2,20,734,1909
